Date,Keywords,Sentiment_Score
2025-12-26,15 INSANE Rules of Vipassana Meditation,0.1
2025-12-21,I finished my first 10 day course this month It was a positive impactful experience Im going back this year for shorter classes will do another 10 day in the future,0.55
2025-10-06,Understand the meaning of Anapana and Vipassana Get away with your misery You just need to breath your own breath and observe Not suitable for people who are dealing with psychological issues,0.54
2025-02-02,Not entirely true my experience was less intensely controlled and incredibly beneficialremains onebof tge most significant times of my life so please dont be put off by thus extreme appraisal,0.59
2026-02-02,I guy from my town had a psychosis after thisshurely not for beginners,0.5
2025-11-17,Im sure you made this video for clicks and likes but its pretty telling the type of person you are No drugs or alcohol is lame What do you think a meditation retreat is A festival If you didnt enjoy it because you were seeking a party vs actual healing then make that very clear in your video Your video is doing a huge disservice for people who would probably gain a ton from a vipassana retreat,0.57
2025-08-29,Too theatrical for a message that only needs structure and clarity,0.5
2025-02-01,Because of your kundalini energy rising you become hyper sexual rules are there to break chakra meridians every rule is there for a reason think of it like karate kid jacket on off stuff and move on it your study,0.7
2025-10-15,You dont know how lies are possible without talking and you dont know why men and women are separated My friend what did you learn,0.5
2025-09-10,Not insanityawakening Ten days of silence can heal what endless noise cannot In this restless world meditation is not an optionits a necessity,0.47
2025-09-09,And when you have too strong pain somewhere its possible to sit 3 hours At least I did it and no one made any comment on it Otherwise its like 7 hours,0.52
2025-03-04,Yeah reality as it is not as you want it to be The rules are not insane you signed up for it Respect the practice Please Not 12 hours at once it is roughly sround 22 hours per day though The FOOD IS AMAZING Im an omnivore and have been in FB for 17 years,0.63
2026-01-16,Women and men are probably in separate zones due to the possible ignition of thinking about the opposite sex which obviously would put attention away from focusing on owns inner world,0.49
2025-05-02,I just served as a head chef for a 10day course and returned home today It was lifechanging even with the group meditations only,0.5
2025-03-20,and did you appreciate What the effects for you For my part very difficult Because its 9 days alone with your thoughts without distractions Its 9 days alone with yourself no escape 9 days to become more honest more peaceful with yourself Your choice,0.6
2025-10-15,The Posna was lifechanging when I did it at 26 I recommended to everyone who wants their life to change And of course do your due diligence in case you find it may not be for you,0.52
2025-04-06,I did it and it helped me a Great deal Now working to get it back as a daily practice,0.61
2025-09-21,This is the least Vipassana video ever 100 influencer which is so far from any kind of vibe in the course which I would not be surprised at all if he even never did it or quit by day 3,0.55
2025-10-23,You should take your video down It is a technique and you sound like you are bitching all of this was stated before you went,0.55
2025-06-22,Dude you might need to do 45 courses to understand all of it,0.5
2025-03-30,I attended a 12 day retreat led by Late Satyanarayan Goenkaji It was 40 years back I havent practiced regularly this unique Meditation I admit I have lost big time in my life because of not practicing what I learnt liked immensely agreed with the scientific approach of Vipassana Benefits accrue only when one practices the meditation regularly follows the guidance4 Noble Truth the 8 fold path as taught by Gauthama the Buddha,0.55
2026-02-25,Hmm misleading information This guy doesnt know what Vipassana meditation is,0.5
2025-08-27,Of course you can talk to teachers and during question answer sessions Pls dont spread fear psychosis Its a wonderful programme,0.9
2025-03-23,You shouldnt have been there in the first place Completely missing the point,0.51
2026-01-25,12 No Lying Yes You can lie to yourself while having thoughts while judging a decision You dont have to talk to someone to lie,0.5
2025-10-12,Vipassana has made a significant change in my life I was able to feel it right away INNER PEACE,0.62
